"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
27,"1","2","0",120000,"7","3",36,"1","4","1","1",9,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,120000,3111.11108398438,"0","0",1131978.87310825,11.6952470217642
43,"0","2","1",2018667,"7","3",32,"2","2","0","5",30,1602000,12460,1602000,0,12460,1602000,12460,"1","0",1131978.87310825,14.5179479505568
62,"0","2","0",780000,"6","1",240,"2","1","0","3",48,780000,3791.66674804688,780000,1117460.30167986,3791.66674804688,780000,3791.66674804688,"1","1",1131978.87310825,13.5670491986658
47,"0","2","0",3200000,"6","1",48,"2","1","1","3",60,3200000,12444.4443359375,3200000,1117460.30167986,12444.4443359375,3200000,12444.4443359375,"0","1",1131978.87310825,14.97866136777
18,"0","3","0",3e+05,"7","3",0,"2","1","1","2",15,3e+05,4666.66650390625,3e+05,1117460.30167986,4666.66650390625,3e+05,4666.66650390625,"0","0",1636072.34663713,12.6115377536383
44,"0","3","1",1550000,"7","1",5,"2","1","0","3",10,7e+05,16333.3330078125,7e+05,1117460.30167986,16333.3330078125,7e+05,16333.3330078125,"1","1",1636072.34663713,14.2537654888954
40,"0","3","1",2350000,"7","4",48,"2","1","0","5",40,1556199.65547918,7945.64299169031,1745416.3438112,0,8822.22934101255,1617550.51747336,8541.87432821598,"1","0",1636072.34663713,14.6699258861203
42,"1","2","0",816666.666666667,"6","1",36,"2","4","0","1",40,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,8e+05,4666.66650390625,"1","1",1131978.87310825,13.6129862938528
23,"0","2","0",8e+05,"6","3",3,"2","1","1","2",80,8e+05,2333.33325195312,8e+05,1117460.30167986,2333.33325195312,8e+05,2333.33325195312,"0","0",1131978.87310825,13.5923670066501
38,"0","3","1",3201666.66666667,"5","2",42,"2","1","1","5",84,2900000,8055.5556640625,3201666.75,2900000,8893.5185546875,3201666.75,8893.5185546875,"0","0",1636072.34663713,14.9791820655167
22,"0","3","1",766883.666666667,"6","3",24,"2","1","1","5",48,737717,3586.12426757812,766883.6875,350000,3727.90673828125,766883.6875,3727.90673828125,"0","0",1636072.34663713,13.5500903956603
21,"0","3","1",737717,"6","3",7,"2","1","0","2",48,737717,3586.12426757812,737717,1117460.30167986,3586.12426757812,737717,3586.12426757812,"1","0",1636072.34663713,13.5113155612049
47,"0","3","1",766883.666666667,"6","1",48,"2","1","1","4",48,737717,3586.12426757812,766883.6875,350000,3727.90673828125,766883.6875,3727.90673828125,"0","1",1636072.34663713,13.5500903956603
50,"0","3","1",798967,"6","2",120,"2","1","0","5",48,737717,3586.12426757812,798967.0625,350000,3883.86767578125,798967.0625,3883.86767578125,"1","0",1636072.34663713,13.5910749222684
35,"0","3","1",1541473.33333333,"7","1",144,"2","1","1","5",50,1300000,6066.66650390625,1541473.375,1300000,7193.54248046875,1541473.375,7193.54248046875,"0","1",1636072.34663713,14.2482492269912
37,"0","3","1",889217,"7","2",36,"2","1","0","5",40,737717,4303.34912109375,889217,750000,5187.09912109375,889217,5187.09912109375,"1","0",1636072.34663713,13.698096579198
24,"0","2","1",1058300,"7","4",12,"2","1","0","5",45,9e+05,4666.66650390625,1058300,9e+05,5487.4814453125,1058300,5487.4814453125,"1","0",1131978.87310825,13.8721744050818
47,"0","2","0",720000,"5","3",96,"2","3","0","1",36,3e+05,1944.44445800781,320000,1117460.30167986,2074.07397460938,320000,2074.07397460938,"1","0",1131978.87310825,13.4870064909922
43,"1","2","0",2300000,"6","1",60,"2","4","1","1",70,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,2e+06,6666.66650390625,"0","1",1131978.87310825,14.6484196808994
19,"1","3","0",1700000,"6","9",14,"2","4","1","3",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1700000,8263.888671875,"0","0",1636072.34663713,14.3461388090264
18,"0","3","1",1320640,"7","3",72,"2","1","1","4",48,1e+06,4861.111328125,1162306.625,950000,5650.1015625,1162306.625,5650.1015625,"0","0",1636072.34663713,14.0936270255464
46,"0","3","0",530000,"6","1",2,"2","3","0","1",40,360000,2100,360000,1117460.30167986,2100,360000,2100,"1","1",1636072.34663713,13.1806322855283
